fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
2893,4c288a2b250bb576,Luke Jumeau,e9213f53ddeca978,Dhiego Lima,Dhiego Lima,Welterweight Bout,3,3 Rnd (5-5-5),13,5,0,0,180.34,77.1,182.88,Orthodox,1988-02-12,2.93,0.43,3.17,0.58,0.25,1.0,0.86,0.0,17,9,0,0,187.96,77.1,190.5,Orthodox,1989-01-31,3.12,0.39,3.88,0.58,1.26,0.34,0.73,0.6
2894,e13abac8089a801a,Justin Tafa,1eff7bc0f815b270,Yorgan De Castro,Yorgan De Castro,Heavyweight Bout,1,3 Rnd (5-5-5),7,5,0,1,182.88,119.73,187.96,Southpaw,1993-12-13,4.05,0.54,5.11,0.47,0.0,0.0,0.53,0.0,6,3,0,0,182.88,113.38,187.96,Orthodox,1986-12-19,2.46,0.43,3.85,0.53,0.0,0.0,0.77,0.0
2895,a845f0735bc67405,Jake Matthews,1fc64507a0cb38cf,Rostem Akman,Jake Matthews,Welterweight Bout,3,3 Rnd (5-5-5),21,7,0,0,180.34,77.1,185.42,Orthodox,1994-08-19,3.45,0.43,2.63,0.61,1.46,0.41,0.67,0.6,6,2,0,0,177.8,77.1,182.88,Switch,1991-12-19,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0
2896,8fc9ae9c7527dfcb,Callan Potter,c549573c0df4d676,Maki Pitolo,Callan Potter,Welterweight Bout,3,3 Rnd (5-5-5),18,9,0,0,182.88,77.1,182.88,Orthodox,1984-06-09,3.18,0.5,4.72,0.58,3.29,0.66,1.0,0.0,13,9,0,0,177.8,83.9,190.5,Orthodox,1990-11-24,4.1,0.44,3.93,0.55,2.24,0.52,0.5,0.8
2897,37ed1ab2f8b819f4,Brad Riddell,af9f42e6894047fc,Jamie Mullarkey,Brad Riddell,Lightweight Bout,3,3 Rnd (5-5-5),10,4,0,0,170.18,70.29,180.34,Orthodox,1991-09-30,4.71,0.53,3.53,0.53,1.77,0.36,0.63,0.0,17,8,0,0,182.88,70.29,187.96,Orthodox,1994-08-17,4.39,0.46,4.53,0.53,2.31,0.34,0.78,0.1
2898,a0e75f4a13eb73f1,Megan Anderson,862b0b3375aa4b6e,Zarah Fairn,Megan Anderson,Women's Featherweight Bout,1,3 Rnd (5-5-5),11,5,0,0,182.88,65.76,182.88,Orthodox,1990-02-11,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,6,6,0,0,172.72,61.22,182.88,Orthodox,1983-12-10,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0
2899,6e7506127408aa9e,Nadia Kassem,a20f234df70f2182,Ji Yeon Kim,Ji Yeon Kim,Women's Flyweight Bout,2,3 Rnd (5-5-5),5,2,0,0,165.1,56.69,167.64,Southpaw,1995-11-15,3.13,0.41,4.48,0.48,0.46,0.33,0.4,2.8,9,7,2,0,170.18,56.69,182.88,Orthodox,1989-10-18,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1
2900,b4537562f88ac582,Khalid Taha,294aa73dbf37d281,Bruno Silva,NC,Bantamweight Bout,3,3 Rnd (5-5-5),13,5,0,1,165.1,61.22,175.26,Orthodox,1992-02-15,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2,14,7,2,1,162.56,56.69,165.1,Orthodox,1990-03-16,3.83,0.49,4.81,0.5,1.79,0.23,0.6,0.2
2901,0a1942069c9ad6b6,Jack Hermansson,13a0275fa13c4d26,Jared Cannonier,Jared Cannonier,Middleweight Bout,2,5 Rnd (5-5-5-5-5),24,9,0,0,185.42,83.9,195.58,Orthodox,1988-06-10,5.13,0.45,3.7,0.57,1.5,0.29,0.8,0.4,18,8,0,0,180.34,83.9,195.58,Switch,1984-03-16,4.6,0.5,4.49,0.56,0.46,0.44,0.64,0.0
2902,da0995f19b749cfa,Mark Madsen,c3f6db17cea09ca7,Danilo Belluardo,Mark Madsen,Lightweight Bout,1,3 Rnd (5-5-5),12,2,0,0,172.72,70.29,182.88,Orthodox,1984-09-23,3.56,0.49,3.97,0.52,2.86,0.66,0.62,0.0,12,5,0,0,182.88,70.29,187.96,Southpaw,1994-07-21,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0
