fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
0,54f64b5e283b0ce7,Ilia Topuria,07225ba28ae309b6,Charles Oliveira,Ilia Topuria,UFC Lightweight Title Bout,1,5 Rnd (5-5-5-5-5),17,0,0,0,170.18,70.29,175.26,Orthodox,1997-01-21,4.81,0.48,3.83,0.64,1.96,0.61,0.93,1.1,35,11,0,1,177.8,70.29,187.96,Orthodox,1989-10-17,3.41,0.55,3.26,0.48,2.23,0.39,0.56,2.6
1,a0f0004aadf10b71,Alexandre Pantoja,853eb0dd5c0e2149,Kai Kara-France,Alexandre Pantoja,UFC Flyweight Title Bout,3,5 Rnd (5-5-5-5-5),30,5,0,0,165.1,56.69,170.18,Orthodox,1990-04-16,4.36,0.5,3.88,0.49,2.8,0.47,0.69,1.0,25,12,0,1,162.56,56.69,175.26,Orthodox,1993-03-26,4.46,0.4,3.24,0.64,0.56,0.3,0.83,0.0
2,6e15f63b6c2e2c15,Brandon Royval,17e97649403ba428,Joshua Van,Joshua Van,Flyweight Bout,3,3 Rnd (5-5-5),17,8,0,0,175.26,56.69,172.72,Southpaw,1992-08-16,5.55,0.41,4.23,0.43,0.67,0.75,0.45,1.1,15,2,0,0,165.1,56.69,165.1,Orthodox,2001-10-10,8.86,0.56,6.36,0.57,0.85,0.63,0.81,0.0
3,08af939f41b5a57b,Beneil Dariush,b6452706b373eea1,Renato Moicano,Beneil Dariush,Lightweight Bout,3,3 Rnd (5-5-5),23,6,1,0,177.8,70.29,182.88,Southpaw,1989-05-06,3.78,0.49,2.61,0.57,2.12,0.38,0.82,0.8,20,7,1,0,180.34,70.29,182.88,Orthodox,1989-05-21,4.17,0.48,3.57,0.59,1.67,0.41,0.62,0.5
4,6e743a33d56bdaa4,Payton Talbott,9256f591b30c073e,Felipe Lima,Payton Talbott,Bantamweight Bout,3,3 Rnd (5-5-5),10,1,0,0,177.8,61.22,177.8,Switch,1998-09-09,6.05,0.54,3.26,0.46,0.24,0.25,0.76,0.2,14,2,0,0,167.64,61.22,172.72,Orthodox,1998-05-07,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7
5,0a1942069c9ad6b6,Jack Hermansson,d1c65d2cf2925ddd,Gregory Rodrigues,Gregory Rodrigues,Middleweight Bout,1,3 Rnd (5-5-5),24,9,0,0,185.42,83.9,195.58,Orthodox,1988-06-10,5.13,0.45,3.7,0.57,1.5,0.29,0.8,0.4,17,6,0,0,190.5,83.9,190.5,Orthodox,1992-02-17,5.54,0.51,5.04,0.5,2.21,0.38,0.9,0.3
6,41cc71cbf210e0fe,Hyder Amil,7d6ceff6747f2de2,Jose Delgado,Jose Delgado,Featherweight Bout,1,3 Rnd (5-5-5),11,1,0,0,175.26,65.76,177.8,Switch,1990-05-28,6.84,0.57,4.18,0.51,0.77,0.2,0.81,1.2,10,1,0,0,180.34,65.76,187.96,Switch,1998-04-21,7.13,0.49,3.67,0.55,4.58,0.6,0.71,0.0
7,36541f1e6c5d4955,Viviane Araujo,68d4a891e5cf2029,Tracy Cortez,Tracy Cortez,Women's Flyweight Bout,3,3 Rnd (5-5-5),13,7,0,0,162.56,56.69,172.72,Orthodox,1986-11-21,3.84,0.47,4.83,0.55,1.72,0.43,0.75,0.6,12,2,0,0,165.1,56.69,165.1,Orthodox,1993-12-10,3.79,0.49,2.84,0.57,2.19,0.47,0.62,0.3
8,809bd1a871491508,Terrance McKinney,19c591115a58982c,Viacheslav Borshchev,Terrance McKinney,Lightweight Bout,1,3 Rnd (5-5-5),17,7,0,0,177.8,70.29,185.42,Switch,1994-09-15,5.78,0.56,2.58,0.47,3.59,0.4,0.77,2.2,8,6,1,0,180.34,70.29,175.26,Orthodox,1992-01-08,5.22,0.54,4.73,0.57,0.0,0.0,0.42,0.1
9,d8da10db80131bec,Niko Price,85497ffd934ecf7e,Jacobe Smith,Jacobe Smith,Welterweight Bout,2,3 Rnd (5-5-5),16,9,0,2,182.88,77.1,193.04,Orthodox,1989-09-29,5.13,0.43,5.55,0.48,0.98,0.28,0.5,0.6,11,0,0,0,177.8,77.1,182.88,Southpaw,1996-01-17,6.21,0.66,2.86,0.47,7.42,0.9,1.0,0.8
10,25f9a5f3e8a52618,Jhonata Diniz,ab2a4b5e04dc5fe9,Alvin Hines,Jhonata Diniz,Heavyweight Bout,3,3 Rnd (5-5-5),9,1,0,0,193.04,115.19,200.66,Orthodox,1991-06-23,4.58,0.56,3.71,0.59,0.0,0.0,0.78,0.0,7,1,0,0,187.96,120.18,187.96,Orthodox,1991-10-20,5.47,0.31,7.47,0.38,1.0,0.1,0.0,0.0
11,5444c5a201d3ee5a,Jamahal Hill,749f572d1d3161fb,Khalil Rountree Jr.,Khalil Rountree Jr.,Light Heavyweight Bout,5,5 Rnd (5-5-5-5-5),12,4,0,1,193.04,92.97,200.66,Southpaw,1991-05-19,6.19,0.51,4.03,0.44,0.0,0.0,0.73,0.0,15,6,0,1,185.42,92.97,193.04,Southpaw,1990-02-26,3.79,0.4,4.24,0.49,0.0,0.0,0.58,0.1
12,c814b4c899793af6,Rafael Fiziev,e4a47b07044ddd72,Ignacio Bahamondes,Rafael Fiziev,Lightweight Bout,3,3 Rnd (5-5-5),13,4,0,0,172.72,70.29,180.34,Switch,1993-03-05,4.77,0.52,4.77,0.5,0.89,0.72,0.9,0.0,17,6,0,0,190.5,70.29,190.5,Orthodox,1997-08-27,6.55,0.45,4.33,0.56,0.0,0.0,0.75,0.4
13,fa6796c55d6c5440,Curtis Blaydes,739fd4fbb5d862f4,Rizvan Kuniev,Curtis Blaydes,Heavyweight Bout,3,3 Rnd (5-5-5),19,5,0,1,193.04,120.18,203.2,Orthodox,1991-02-18,3.56,0.5,2.0,0.58,5.38,0.48,0.31,0.0,12,3,1,1,193.04,108.84,193.04,Orthodox,1992-03-10,4.45,0.58,2.45,0.45,1.45,0.75,0.9,0.0
14,ae81a3ac7b260411,Tofiq Musayev,bf2c8e01b07d3eb1,Myktybek Orolbai,Myktybek Orolbai,Catch Weight Bout,1,3 Rnd (5-5-5),22,6,0,0,175.26,70.29,175.26,Orthodox,1989-12-15,0.44,0.33,0.44,0.71,0.0,0.0,0.4,0.0,14,2,1,0,177.8,70.29,187.96,Orthodox,1998-02-10,3.11,0.48,3.08,0.5,5.82,0.45,0.4,0.7
15,ff62013d2fce6d13,Nazim Sadykhov,37f560436d745c18,Nikolas Motta,Nazim Sadykhov,Lightweight Bout,2,3 Rnd (5-5-5),11,1,1,0,177.8,70.29,175.26,Southpaw,1994-05-16,5.55,0.5,5.89,0.5,1.29,0.55,0.75,0.3,15,6,0,1,175.26,70.29,177.8,Orthodox,1993-02-08,4.13,0.38,5.28,0.52,0.0,0.0,0.83,0.0
16,8d11d9c13e2ccdf7,Muhammad Naimov,fb37795db81f93f3,Bogdan Grad,Muhammad Naimov,Featherweight Bout,3,3 Rnd (5-5-5),13,3,0,0,175.26,65.76,177.8,Orthodox,1994-08-07,2.61,0.4,3.45,0.45,1.69,0.36,0.67,0.2,15,3,0,0,172.72,65.76,177.8,Orthodox,1995-09-28,4.44,0.51,5.4,0.49,3.31,0.36,0.75,0.0
17,4a07b1988477502c,Seokhyeon Ko,6b56e94a59b7b134,Oban Elliott,Seokhyeon Ko,Welterweight Bout,3,3 Rnd (5-5-5),12,2,0,0,177.8,77.1,180.34,Southpaw,1993-09-24,2.9,0.52,2.0,0.59,4.0,0.53,0.75,0.5,12,3,0,0,182.88,77.1,182.88,Orthodox,1997-12-19,3.5,0.48,2.24,0.6,1.7,0.44,0.55,0.0
18,6a96ad1bc34fb113,Ismail Naurdiev,285ae0b4a68221f4,JunYong Park,JunYong Park,Middleweight Bout,3,3 Rnd (5-5-5),24,8,0,0,177.8,83.9,187.96,Orthodox,1996-08-18,3.69,0.52,1.77,0.64,1.5,0.4,0.73,0.2,19,6,0,0,177.8,83.9,185.42,Orthodox,1991-02-27,4.59,0.5,3.59,0.53,1.87,0.42,0.57,0.9
19,07047eb7d17fb0a2,Daria Zhelezniakova,bd532e9a2b93870c,Melissa Mullins,Daria Zhelezniakova,Women's Bantamweight Bout,3,3 Rnd (5-5-5),10,2,0,0,175.26,61.22,172.72,Orthodox,1996-01-23,4.75,0.41,2.83,0.68,0.44,1.0,0.5,0.0,7,2,0,0,170.18,61.22,172.72,Orthodox,1991-07-23,3.71,0.5,4.39,0.52,2.03,0.42,0.85,0.0
20,103e2e33a60683e1,Irina Alekseeva,9f5e3c20ce40b344,Klaudia Sygula,Klaudia Sygula,Women's Bantamweight Bout,3,3 Rnd (5-5-5),5,3,0,0,172.72,61.22,170.18,Orthodox,1990-06-27,4.01,0.39,5.03,0.46,0.47,0.2,0.66,0.5,7,2,0,0,172.72,61.22,175.26,Orthodox,1998-12-30,5.3,0.53,4.73,0.57,0.7,0.2,0.33,0.0
21,f00ac08ab056af5d,Tagir Ulanbekov,7f1bf0c255ec8756,Azat Maksum,Tagir Ulanbekov,Flyweight Bout,3,3 Rnd (5-5-5),17,2,0,0,170.18,56.69,177.8,Southpaw,1991-08-07,3.37,0.49,3.36,0.52,2.94,0.38,0.62,1.6,15,2,0,0,170.18,56.69,177.8,Southpaw,1995-02-02,3.24,0.28,5.0,0.52,2.33,0.28,0.85,0.3
22,3329d692aea4dc28,Hamdy Abdelwahab,da7f113b5ea39c43,Mohammed Usman,Mohammed Usman,Heavyweight Bout,3,3 Rnd (5-5-5),6,1,0,1,187.96,119.73,182.88,Southpaw,1993-01-22,3.49,0.49,4.49,0.51,1.33,0.66,1.0,0.0,12,4,0,0,187.96,108.39,200.66,Orthodox,1989-04-01,3.85,0.39,4.27,0.51,0.56,0.14,0.66,0.0
23,f1b2aa7853d1ed6e,Kamaru Usman,b9437600497350f3,Joaquin Buckley,Kamaru Usman,Welterweight Bout,5,5 Rnd (5-5-5-5-5),21,4,0,0,182.88,77.1,193.04,Switch,1987-05-11,4.16,0.51,2.67,0.55,2.79,0.44,0.89,0.1,21,7,0,0,177.8,77.1,193.04,Southpaw,1994-04-27,3.88,0.36,2.93,0.59,1.54,0.45,0.72,0.1
24,47b63240018d5d86,Rose Namajunas,f29a6350c69f4a33,Miranda Maverick,Rose Namajunas,Women's Flyweight Bout,3,3 Rnd (5-5-5),15,7,0,0,165.1,56.69,165.1,Orthodox,1992-06-29,3.6,0.41,3.38,0.63,1.49,0.5,0.62,0.4,17,6,0,0,160.02,56.69,165.1,Southpaw,1997-07-01,3.22,0.44,2.25,0.61,2.16,0.4,0.45,0.4
25,4144798612ef96e5,Edmen Shahbazyan,5f61780fe5e9b6d0,Andre Petroski,Edmen Shahbazyan,Middleweight Bout,3,3 Rnd (5-5-5),15,5,0,0,187.96,83.9,190.5,Orthodox,1997-11-20,3.74,0.48,3.62,0.48,1.69,0.37,0.66,0.4,13,5,0,0,182.88,83.9,185.42,Switch,1991-06-12,2.82,0.49,2.75,0.52,3.21,0.51,0.86,1.3
26,d8c7c61b176e3994,Cody Garbrandt,b9f28e7045fdfce7,Raoni Barcelos,Raoni Barcelos,Bantamweight Bout,3,3 Rnd (5-5-5),14,7,0,0,172.72,61.22,165.1,Orthodox,1991-07-07,2.88,0.39,3.64,0.59,0.93,0.27,0.83,0.0,20,5,0,0,170.18,61.22,170.18,Orthodox,1987-05-01,4.87,0.52,4.4,0.6,2.33,0.33,0.85,0.6
27,841695e02c99a521,Mansur Abdul-Malik,f14f644d41ade29f,Cody Brundage,Mansur Abdul-Malik,Middleweight Bout,3,3 Rnd (5-5-5),9,0,0,0,187.96,83.9,203.2,Orthodox,1997-10-07,4.27,0.48,3.49,0.51,0.49,0.33,0.82,0.0,11,7,0,1,182.88,83.9,182.88,Orthodox,1994-05-16,2.23,0.52,2.9,0.46,1.87,0.47,0.68,0.8
28,a495f599e787614f,Alonzo Menifield,46e2011d92463b7e,Oumar Sy,Alonzo Menifield,Light Heavyweight Bout,3,3 Rnd (5-5-5),17,5,1,0,182.88,92.97,193.04,Orthodox,1987-10-18,3.79,0.53,3.76,0.5,0.5,0.31,0.78,0.2,11,1,0,0,193.04,92.97,210.82,Orthodox,1995-11-21,3.68,0.5,1.81,0.7,2.22,0.33,1.0,0.4
29,eabf206b162b3b83,Paul Craig,69898645d600abdb,Rodolfo Bellato,NC,Light Heavyweight Bout,1,3 Rnd (5-5-5),17,9,1,1,190.5,92.97,193.04,Orthodox,1987-11-27,2.54,0.45,3.0,0.43,1.47,0.19,0.35,1.4,12,2,1,1,190.5,92.97,190.5,Orthodox,1996-02-05,5.84,0.61,6.0,0.45,1.26,0.36,1.0,0.3
30,c58f51dedb310998,Michael Chiesa,523fa774700d7d3f,Court McGee,Michael Chiesa,Welterweight Bout,3,3 Rnd (5-5-5),19,7,0,0,185.42,77.1,190.5,Southpaw,1987-12-07,2.03,0.4,1.73,0.57,3.05,0.47,0.67,1.0,23,14,0,0,180.34,77.1,190.5,Orthodox,1984-12-12,4.5,0.36,3.65,0.6,1.78,0.24,0.7,0.5
31,2e45d08b3f2f02c8,Malcolm Wellmaker,9c27f3217891f3f0,Kris Moutinho,Malcolm Wellmaker,Bantamweight Bout,1,3 Rnd (5-5-5),10,0,0,0,177.8,61.22,180.34,Switch,1994-06-04,7.2,0.62,4.8,0.6,0.0,0.0,1.0,0.0,14,7,0,0,170.18,61.22,172.72,Southpaw,1992-08-09,4.51,0.31,14.68,0.29,0.0,0.0,0.0,0.0
32,7f6ed67d3ed3c036,Cody Durden,88be62d6c1e6dadb,Jose Ochoa,Jose Ochoa,Flyweight Bout,2,3 Rnd (5-5-5),17,8,1,0,170.18,56.69,170.18,Southpaw,1991-03-29,3.44,0.44,4.35,0.5,4.13,0.47,0.73,0.7,8,1,0,1,170.18,56.69,170.18,Southpaw,2000-12-31,3.96,0.33,2.97,0.64,0.0,0.0,0.66,0.7
33,5987b2458f4b5290,Ricky Simon,5c84f673b7bb7c15,Cameron Smotherman,Ricky Simon,Bantamweight Bout,3,3 Rnd (5-5-5),22,6,0,0,167.64,61.22,175.26,Orthodox,1992-08-31,2.93,0.44,3.72,0.61,5.01,0.43,0.75,0.3,12,6,0,0,175.26,61.22,175.26,Orthodox,1997-09-17,4.07,0.37,3.52,0.58,0.0,0.0,0.62,0.0
34,8e382b585a92affe,Phil Rowe,1497e735d9f2560a,Ange Loosa,Phil Rowe,Welterweight Bout,3,3 Rnd (5-5-5),11,5,0,0,190.5,77.1,203.2,Orthodox,1990-07-18,3.99,0.49,4.38,0.53,0.6,0.36,0.56,0.3,10,5,0,1,177.8,77.1,187.96,Orthodox,1993-03-18,5.46,0.46,6.59,0.52,2.53,0.39,0.83,0.2
35,5c637af9472ae7cc,Jamey-Lyn Horth,2c483cf443f38ece,Vanessa Demopoulos,Jamey-Lyn Horth,Women's Flyweight Bout,3,3 Rnd (5-5-5),8,2,0,0,170.18,56.69,167.64,Orthodox,1990-03-30,3.52,0.54,2.55,0.62,1.2,0.42,0.76,0.2,11,8,0,0,157.48,56.69,149.86,Orthodox,1988-09-22,3.37,0.39,5.39,0.41,0.32,0.09,0.26,0.4
36,c03520b5c88ed6b4,Merab Dvalishvili,b50a426a33da0012,Sean O'Malley,Merab Dvalishvili,UFC Bantamweight Title Bout,3,5 Rnd (5-5-5-5-5),20,4,0,0,167.64,61.22,172.72,Orthodox,1991-01-10,4.31,0.42,2.48,0.56,5.84,0.35,0.82,0.3,18,3,0,1,180.34,61.22,182.88,Switch,1994-10-24,6.3,0.61,3.48,0.6,0.27,0.42,0.61,0.3
37,3253b16d38ae087d,Julianna Pena,1af1170ed937cba7,Kayla Harrison,Kayla Harrison,UFC Women's Bantamweight Title Bout,2,5 Rnd (5-5-5-5-5),13,6,0,0,167.64,61.22,175.26,Orthodox,1989-08-19,3.1,0.44,2.56,0.57,1.7,0.54,0.24,0.8,19,1,0,0,172.72,61.22,167.64,Southpaw,1990-07-02,4.29,0.62,1.1,0.66,2.84,0.37,1.0,0.9
38,8c0580d4fff106c1,Kelvin Gastelum,c1085e1701b13eca,Joe Pyfer,Joe Pyfer,Middleweight Bout,3,3 Rnd (5-5-5),20,10,0,1,175.26,83.9,180.34,Southpaw,1991-10-24,3.67,0.42,3.49,0.57,1.05,0.34,0.58,0.1,14,3,0,0,187.96,83.9,190.5,Orthodox,1996-09-17,3.74,0.43,3.2,0.54,1.35,0.42,0.6,0.7
39,bc711b6dd95c1af6,Mario Bautista,2cfba6c837c03ed0,Patchy Mix,Mario Bautista,Bantamweight Bout,3,3 Rnd (5-5-5),16,2,0,0,175.26,61.22,175.26,Switch,1993-07-01,6.13,0.49,4.45,0.55,1.67,0.33,0.67,0.8,20,2,0,0,180.34,61.22,177.8,Southpaw,1993-08-16,8.13,0.4,11.53,0.42,0.0,0.0,0.0,0.0
40,6d4b63c767106d3a,Vicente Luque,3a46b268013afede,Kevin Holland,Kevin Holland,Welterweight Bout,2,3 Rnd (5-5-5),23,11,1,0,180.34,77.1,190.5,Orthodox,1991-11-27,5.02,0.51,5.25,0.52,0.97,0.51,0.61,0.7,28,13,0,1,190.5,77.1,205.74,Orthodox,1992-11-05,4.24,0.5,3.11,0.5,0.81,0.39,0.55,0.6
41,294aa73dbf37d281,Bruno Silva,17e97649403ba428,Joshua Van,Joshua Van,Flyweight Bout,3,3 Rnd (5-5-5),14,7,2,1,162.56,56.69,165.1,Orthodox,1990-03-16,3.83,0.49,4.81,0.5,1.79,0.23,0.6,0.2,15,2,0,0,165.1,56.69,165.1,Orthodox,2001-10-10,8.86,0.56,6.36,0.57,0.85,0.63,0.81,0.0
42,e90a2f22417af68e,Azamat Murzakanov,49edd0d90f60fb7d,Brendson Ribeiro,Azamat Murzakanov,Light Heavyweight Bout,1,3 Rnd (5-5-5),15,0,0,0,177.8,92.97,180.34,Southpaw,1989-04-12,4.93,0.57,2.86,0.61,0.58,0.15,0.83,0.0,17,8,0,1,190.5,92.97,205.74,Orthodox,1996-09-08,3.26,0.42,4.04,0.52,0.99,0.42,0.0,0.7
43,e2f6b2769aaedd6c,Serghei Spivac,fc08099550072fe4,Waldo Cortes-Acosta,Waldo Cortes-Acosta,Heavyweight Bout,3,3 Rnd (5-5-5),17,6,0,0,190.5,117.91,198.12,Orthodox,1995-01-24,3.45,0.48,4.25,0.5,4.21,0.62,0.63,0.5,14,1,0,0,193.04,117.91,198.12,Orthodox,1991-10-03,5.98,0.48,3.43,0.55,0.42,0.5,0.66,0.1
44,2558ae2e5671e318,Khaos Williams,2caf993f53541fa1,Andreas Gustafsson,Andreas Gustafsson,Welterweight Bout,3,3 Rnd (5-5-5),15,5,0,0,182.88,77.1,195.58,Orthodox,1994-03-30,4.94,0.39,5.39,0.4,0.0,0.0,0.51,0.0,12,2,0,0,185.42,77.1,185.42,Orthodox,1991-02-20,5.83,0.76,2.79,0.45,6.43,0.58,1.0,0.0
45,6551c64fbcd1a467,Ariane da Silva,2997e7fe3c9d3d4a,Wang Cong,Wang Cong,Women's Flyweight Bout,3,3 Rnd (5-5-5),17,11,0,0,167.64,56.69,170.18,Orthodox,1994-01-26,4.05,0.41,4.4,0.5,0.47,0.38,0.68,0.3,8,1,0,0,167.64,56.69,167.64,Southpaw,1992-05-15,7.48,0.57,2.68,0.63,1.05,0.75,1.0,0.7
46,57186c150c645200,Jeka Saragih,a44020ea2e8cd026,JooSang Yoo,JooSang Yoo,Featherweight Bout,1,3 Rnd (5-5-5),14,5,0,0,172.72,65.76,175.26,Orthodox,1995-01-01,2.75,0.5,2.82,0.4,2.17,0.8,0.66,0.5,9,0,0,0,170.18,65.76,180.34,Orthodox,1994-01-21,12.86,0.75,4.29,0.5,0.0,0.0,0.0,0.0
47,17734443a833cdf7,Quillan Salkilld,c739c2995a275314,Yanal Ashmouz,Quillan Salkilld,Lightweight Bout,3,3 Rnd (5-5-5),9,1,0,0,182.88,70.29,190.5,Orthodox,1999-12-28,5.48,0.59,3.46,0.45,8.41,0.37,1.0,0.5,8,2,0,0,175.26,70.29,175.26,Orthodox,1995-03-31,2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0
48,e2be0c1a9b886d92,MarQuel Mederos,001eb2ab0f30e7ea,Mark Choinski,MarQuel Mederos,Lightweight Bout,3,3 Rnd (5-5-5),11,1,0,0,177.8,70.29,175.26,Orthodox,1996-11-30,4.84,0.56,2.99,0.58,0.0,0.0,0.83,0.0,8,1,0,0,172.72,70.29,175.26,Orthodox,1995-10-22,3.87,0.5,7.33,0.33,2.0,0.18,0.0,0.0
49,72db2a14ffa73ece,Mateusz Gamrot,5b86d491d63890c5,Ludovit Klein,Mateusz Gamrot,Lightweight Bout,3,3 Rnd (5-5-5),25,3,0,1,177.8,70.29,177.8,Southpaw,1990-12-11,3.35,0.51,3.04,0.59,5.33,0.36,0.9,0.1,23,5,1,0,170.18,70.29,182.88,Southpaw,1995-02-22,3.57,0.52,3.34,0.52,1.52,0.51,0.76,0.0
50,fa07345cc9db5cc9,Billy Ray Goff,3d074044a33825e7,Ramiz Brahimaj,Ramiz Brahimaj,Welterweight Bout,1,3 Rnd (5-5-5),9,4,0,0,177.8,77.1,182.88,Switch,1998-06-18,7.51,0.46,5.02,0.59,1.75,0.16,0.66,0.0,12,5,0,0,177.8,77.1,182.88,Orthodox,1992-11-17,2.14,0.45,3.81,0.43,1.99,0.41,0.47,1.7
51,e4277e87a789d687,Dustin Jacoby,0abcf6bc47191219,Bruno Lopes,Dustin Jacoby,Light Heavyweight Bout,1,3 Rnd (5-5-5),21,9,1,0,190.5,92.97,193.04,Orthodox,1988-04-04,5.37,0.47,4.02,0.57,0.33,0.25,0.62,0.0,14,2,0,0,187.96,92.97,187.96,Orthodox,1993-04-24,2.81,0.43,3.38,0.57,2.51,0.33,1.0,0.0
52,b9706f80d005036c,Ketlen Vieira,9cdd2da1a9104a0b,Macy Chiasson,Ketlen Vieira,Women's Featherweight Bout,3,3 Rnd (5-5-5),15,4,0,0,172.72,61.22,172.72,Orthodox,1991-08-26,2.84,0.41,3.72,0.51,1.28,0.43,0.9,0.5,11,4,0,0,180.34,61.22,182.88,Orthodox,1991-07-27,3.49,0.46,2.68,0.45,2.08,0.35,0.71,0.4
53,23dec7c47cb418f8,Zachary Reese,866fd7b1a6c90e7f,Dusko Todorovic,Zachary Reese,Middleweight Bout,3,3 Rnd (5-5-5),9,2,0,0,193.04,83.9,195.58,Switch,1994-03-24,4.28,0.54,2.99,0.43,2.88,0.58,0.57,1.2,12,6,0,0,185.42,83.9,187.96,Orthodox,1994-05-19,4.79,0.57,4.53,0.47,1.5,0.17,0.42,0.2
54,65adf3856c4d9256,Jafel Filho,253076a23d03dcd0,Allan Nascimento,Allan Nascimento,Flyweight Bout,3,3 Rnd (5-5-5),16,4,0,0,170.18,56.69,172.72,Orthodox,1993-05-05,1.92,0.41,1.63,0.47,2.45,0.42,0.66,2.1,21,6,0,0,172.72,56.69,175.26,Orthodox,1991-09-11,2.64,0.6,1.96,0.5,1.42,0.24,0.3,0.9
55,a7151778b3381036,Kurt Holobaugh,ac026518a9b4dc0f,Jordan Leavitt,Jordan Leavitt,Lightweight Bout,1,3 Rnd (5-5-5),22,10,0,1,180.34,70.29,177.8,Orthodox,1986-09-08,4.58,0.44,4.24,0.49,0.65,0.33,0.38,0.8,12,3,0,0,175.26,70.29,180.34,Southpaw,1995-06-02,2.49,0.61,1.79,0.57,2.92,0.3,0.3,1.3
56,4bdedbdeedff7d1d,Bolaji Oki,01c9e4013afce141,Michael Aswell,Bolaji Oki,Lightweight Bout,3,3 Rnd (5-5-5),10,2,0,0,177.8,70.29,185.42,Orthodox,1995-11-15,7.05,0.45,4.76,0.62,1.24,0.75,0.85,0.0,10,3,0,0,172.72,70.29,175.26,Orthodox,2000-09-27,9.1,0.44,7.93,0.54,0.0,0.0,0.57,0.0
57,02bb48869eb7ac8f,Rayanne dos Santos,87f8699fdcc2c404,Alice Ardelean,Alice Ardelean,Women's Strawweight Bout,3,3 Rnd (5-5-5),14,9,0,0,157.48,52.15,157.48,Orthodox,1995-06-08,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0,10,7,0,0,160.02,52.15,157.48,Orthodox,1992-04-19,6.73,0.44,5.04,0.57,1.0,0.5,0.87,0.0
58,23024fdfc966410a,Gilbert Burns,c32aeb1a59e6272d,Michael Morales,Michael Morales,Welterweight Bout,1,5 Rnd (5-5-5-5-5),22,9,0,0,177.8,77.1,180.34,Orthodox,1986-07-20,3.15,0.48,3.64,0.52,2.12,0.37,0.53,0.5,18,0,0,0,182.88,77.1,200.66,Orthodox,1999-06-24,5.62,0.49,3.31,0.53,1.09,0.41,0.89,0.0
59,94426bb170c88115,Sodiq Yusuff,480779d7f9a424d3,Mairon Santos,Mairon Santos,Lightweight Bout,3,3 Rnd (5-5-5),13,5,0,0,175.26,70.29,180.34,Orthodox,1993-05-19,5.27,0.49,4.29,0.53,0.36,0.23,0.62,0.4,17,1,0,0,170.18,70.29,182.88,Orthodox,2000-06-10,3.53,0.46,2.38,0.66,0.0,0.0,0.5,0.0
60,71505842fb6455c3,Dustin Stoltzfus,49d2a08964c5eb11,Nursulton Ruziboev,Nursulton Ruziboev,Middleweight Bout,3,3 Rnd (5-5-5),16,7,0,0,182.88,83.9,190.5,Orthodox,1991-11-15,3.14,0.45,3.14,0.47,2.26,0.41,0.46,1.3,36,9,2,2,195.58,83.9,193.04,Orthodox,1993-11-19,2.59,0.46,2.89,0.48,0.75,0.66,0.33,0.0
61,902ec2cc48c8ae8a,Julian Erosa,20bccc9bb4ceb23e,Melquizael Costa,Melquizael Costa,Featherweight Bout,3,3 Rnd (5-5-5),31,13,0,0,185.42,65.76,187.96,Southpaw,1989-07-31,6.21,0.48,6.27,0.48,1.78,0.43,0.61,0.7,24,7,0,0,177.8,65.76,180.34,Southpaw,1996-09-14,4.44,0.49,3.09,0.54,1.96,0.38,0.58,1.2
62,5eb50529a8418b77,Gabe Green,72f890c5d421e705,Matheus Camilo,Gabe Green,Lightweight Bout,2,3 Rnd (5-5-5),12,5,0,0,177.8,70.29,185.42,Switch,1993-05-02,5.6,0.45,6.19,0.47,0.71,0.5,0.5,0.5,9,3,0,0,177.8,70.29,175.26,Orthodox,2001-01-02,1.49,0.48,1.38,0.55,3.44,0.66,0.0,1.7
63,7026eca45f65377b,Jared Gordon,d945aae53e3e54e6,Thiago Moises,Jared Gordon,Lightweight Bout,1,3 Rnd (5-5-5),21,7,0,1,175.26,70.29,172.72,Orthodox,1988-09-06,5.67,0.55,3.91,0.56,1.83,0.32,0.62,0.0,19,9,0,0,175.26,70.29,177.8,Orthodox,1995-03-23,2.48,0.42,4.08,0.53,1.31,0.35,0.52,1.1
64,70380ccdc81915b8,Yadier del Valle,36e78278a77006d4,Connor Matthews,Yadier del Valle,Featherweight Bout,1,3 Rnd (5-5-5),9,0,0,0,175.26,65.76,175.26,Southpaw,1996-07-29,7.49,0.67,3.46,0.52,2.51,0.42,0.66,1.7,7,4,0,0,172.72,65.76,180.34,Switch,1992-05-31,4.82,0.43,6.06,0.55,3.24,0.55,0.46,0.7
