result,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,title_fight,female,f1_stance_Open Stance,f1_stance_Orthodox,f1_stance_Southpaw,f1_stance_Switch,f1_stance_Unknown,f2_stance_Open Stance,f2_stance_Orthodox,f2_stance_Sideways,f2_stance_Southpaw,f2_stance_Switch,f2_stance_Unknown,f1_age,f2_age
1,12,2,0,0,177.8,77.1,180.34,2.9,0.52,2.0,0.59,4.0,0.53,0.75,0.5,12,3,0,0,182.88,77.1,182.88,3.5,0.48,2.24,0.6,1.7,0.44,0.55,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.8,27.6
0,24,8,0,0,177.8,83.9,187.96,3.69,0.52,1.77,0.64,1.5,0.4,0.73,0.2,19,6,0,0,177.8,83.9,185.42,4.59,0.5,3.59,0.53,1.87,0.42,0.57,0.9,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.9,34.4
1,10,2,0,0,175.26,61.22,172.72,4.75,0.41,2.83,0.68,0.44,1.0,0.5,0.0,7,2,0,0,170.18,61.22,172.72,3.71,0.5,4.39,0.52,2.03,0.42,0.85,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.5,34.0
0,5,3,0,0,172.72,61.22,170.18,4.01,0.39,5.03,0.46,0.47,0.2,0.66,0.5,7,2,0,0,172.72,61.22,175.26,5.3,0.53,4.73,0.57,0.7,0.2,0.33,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,26.5
1,17,2,0,0,170.18,56.69,177.8,3.37,0.49,3.36,0.52,2.94,0.38,0.62,1.6,15,2,0,0,170.18,56.69,177.8,3.24,0.28,5.0,0.52,2.33,0.28,0.85,0.3,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.9,30.4
0,6,1,0,1,187.96,119.73,182.88,3.49,0.49,4.49,0.51,1.33,0.66,1.0,0.0,12,4,0,0,187.96,108.39,200.66,3.85,0.39,4.27,0.51,0.56,0.14,0.66,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.5,36.3
1,21,4,0,0,182.88,77.1,193.04,4.16,0.51,2.67,0.55,2.79,0.44,0.89,0.1,21,7,0,0,177.8,77.1,193.04,3.88,0.36,2.93,0.59,1.54,0.45,0.72,0.1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.2,31.2
1,15,7,0,0,165.1,56.69,165.1,3.6,0.41,3.38,0.63,1.49,0.5,0.62,0.4,17,6,0,0,160.02,56.69,165.1,3.22,0.44,2.25,0.61,2.16,0.4,0.45,0.4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,28.0
1,15,5,0,0,187.96,83.9,190.5,3.74,0.48,3.62,0.48,1.69,0.37,0.66,0.4,13,5,0,0,182.88,83.9,185.42,2.82,0.49,2.75,0.52,3.21,0.51,0.86,1.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.6,34.1
0,14,7,0,0,172.72,61.22,165.1,2.88,0.39,3.64,0.59,0.93,0.27,0.83,0.0,20,5,0,0,170.18,61.22,170.18,4.87,0.52,4.4,0.6,2.33,0.33,0.85,0.6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,38.2
1,9,0,0,0,187.96,83.9,203.2,4.27,0.48,3.49,0.51,0.49,0.33,0.82,0.0,11,7,0,1,182.88,83.9,182.88,2.23,0.52,2.9,0.46,1.87,0.47,0.68,0.8,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.8,31.2
1,17,5,1,0,182.88,92.97,193.04,3.79,0.53,3.76,0.5,0.5,0.31,0.78,0.2,11,1,0,0,193.04,92.97,210.82,3.68,0.5,1.81,0.7,2.22,0.33,1.0,0.4,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.7,29.6
0,17,9,1,1,190.5,92.97,193.04,2.54,0.45,3.0,0.43,1.47,0.19,0.35,1.4,12,2,1,1,190.5,92.97,190.5,5.84,0.61,6.0,0.45,1.26,0.36,1.0,0.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.6,29.4
1,19,7,0,0,185.42,77.1,190.5,2.03,0.4,1.73,0.57,3.05,0.47,0.67,1.0,23,14,0,0,180.34,77.1,190.5,4.5,0.36,3.65,0.6,1.78,0.24,0.7,0.5,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.6,40.6
1,10,0,0,0,177.8,61.22,180.34,7.2,0.62,4.8,0.6,0.0,0.0,1.0,0.0,14,7,0,0,170.18,61.22,172.72,4.51,0.31,14.68,0.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.1,32.9
0,17,8,1,0,170.18,56.69,170.18,3.44,0.44,4.35,0.5,4.13,0.47,0.73,0.7,8,1,0,1,170.18,56.69,170.18,3.96,0.33,2.97,0.64,0.0,0.0,0.66,0.7,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.3,24.5
1,22,6,0,0,167.64,61.22,175.26,2.93,0.44,3.72,0.61,5.01,0.43,0.75,0.3,12,6,0,0,175.26,61.22,175.26,4.07,0.37,3.52,0.58,0.0,0.0,0.62,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.9,27.8
1,11,5,0,0,190.5,77.1,203.2,3.99,0.49,4.38,0.53,0.6,0.36,0.56,0.3,10,5,0,1,177.8,77.1,187.96,5.46,0.46,6.59,0.52,2.53,0.39,0.83,0.2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,32.3
1,8,2,0,0,170.18,56.69,167.64,3.52,0.54,2.55,0.62,1.2,0.42,0.76,0.2,11,8,0,0,157.48,56.69,149.86,3.37,0.39,5.39,0.41,0.32,0.09,0.26,0.4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.3,36.8
1,20,4,0,0,167.64,61.22,172.72,4.31,0.42,2.48,0.56,5.84,0.35,0.82,0.3,18,3,0,1,180.34,61.22,182.88,6.3,0.61,3.48,0.6,0.27,0.42,0.61,0.3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.5,30.7
0,13,6,0,0,167.64,61.22,175.26,3.1,0.44,2.56,0.57,1.7,0.54,0.24,0.8,19,1,0,0,172.72,61.22,167.64,4.29,0.62,1.1,0.66,2.84,0.37,1.0,0.9,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.9,35.0
0,20,10,0,1,175.26,83.9,180.34,3.67,0.42,3.49,0.57,1.05,0.34,0.58,0.1,14,3,0,0,187.96,83.9,190.5,3.74,0.43,3.2,0.54,1.35,0.42,0.6,0.7,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.7,28.8
1,16,2,0,0,175.26,61.22,175.26,6.13,0.49,4.45,0.55,1.67,0.33,0.67,0.8,20,2,0,0,180.34,61.22,177.8,8.13,0.4,11.53,0.42,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,31.9
0,23,11,1,0,180.34,77.1,190.5,5.02,0.51,5.25,0.52,0.97,0.51,0.61,0.7,28,13,0,1,190.5,77.1,205.74,4.24,0.5,3.11,0.5,0.81,0.39,0.55,0.6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.6,32.7
0,14,7,2,1,162.56,56.69,165.1,3.83,0.49,4.81,0.5,1.79,0.23,0.6,0.2,15,2,0,0,165.1,56.69,165.1,8.86,0.56,6.36,0.57,0.85,0.63,0.81,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.3,23.8
1,15,0,0,0,177.8,92.97,180.34,4.93,0.57,2.86,0.61,0.58,0.15,0.83,0.0,17,8,0,1,190.5,92.97,205.74,3.26,0.42,4.04,0.52,0.99,0.42,0.0,0.7,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.3,28.8
0,17,6,0,0,190.5,117.91,198.12,3.45,0.48,4.25,0.5,4.21,0.62,0.63,0.5,14,1,0,0,193.04,117.91,198.12,5.98,0.48,3.43,0.55,0.42,0.5,0.66,0.1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.5,33.8
